"PC","PVE","Cumulative_PVE"
"1",0.303921056567237,0.303921056567237
"2",0.152263590343704,0.456184646910942
"3",0.0915680634833078,0.547752710394249
"4",0.0734178005295897,0.621170510923839
"5",0.0610947373249965,0.682265248248835
"6",0.0560350033728991,0.738300251621735
"7",0.0461324896540281,0.784432741275763
"8",0.0386962498791357,0.823128991154898
"9",0.0321853337385693,0.855314324893468
"10",0.0300324964272272,0.885346821320695
"11",0.0252206602107541,0.910567481531449
"12",0.0230966701852589,0.933664151716708
"13",0.0199124168809869,0.953576568597695
"14",0.0168410017748564,0.970417570372551
"15",0.0140751646697029,0.984492735042254
"16",0.0126861069477783,0.997178841990032
"17",0.00266832532563302,0.999847167315665
"18",0.000152832684334555,1
"19",1.45140238124915e-30,1
"20",9.10366509698413e-31,1
"21",5.20318869479102e-31,1
